"Rank","Root Domain","Linking Root Domains","Domain Authority"
"74","google.co.uk","545,362","95"
"75","nih.gov","982,959","95"
"76","whatsapp.com","1,285,297","95"
"77","globo.com","376,685","95"
"78","soundcloud.com","1,512,320","94"
"79","aboutads.info","484,114","94"
"80","lefigaro.fr","169,748","94"
"81","steampowered.com","201,636","94"
"82","wikia.com","473,397","94"
"83","un.org","397,313","94"
"84","translate.google.com","269,544","94"
"85","de.wikipedia.org","583,832","94"
"86","bloomberg.com","639,667","94"
"87","android.com","260,124","94"
"88","youronlinechoices.com","529,232","94"
"89","usatoday.com","618,212","94"
"90","scribd.com","617,563","94"
"91","get.google.com","499,242","94"
"92","terra.com.br","186,513","94"
"93","samsung.com","295,946","94"
"94","aol.com","642,623","94"
"95","ok.ru","321,545","94"
"96","cpanel.net","1,124,463","94"
"97","thesun.co.uk","243,509","94"
"98","ft.com","333,658","94"
"99","abril.com.br","222,951","94"
"100","apache.org","772,284","94"
"101","change.org","362,300","94"
"102","google.ru","175,243","94"
"103","independent.co.uk","505,648","94"
"104","code.google.com","315,990","94"
"105","nypost.com","265,422","94"
"106","jimdofree.com","1,568,591","94"
"107","engadget.com","397,470","94"
"108","harvard.edu","550,520","94"
"109","books.google.com","336,260","94"
"110","booking.com","348,436","94"
"111","bit.ly","3,702,172","94"
"112","wsj.com","792,429","94"
"113","www.wix.com","870,872","94"
"114","telegram.me","251,771","94"
"115","twitter.com","47,266,765","94"
"116","ipv4.google.com","360,080","94"
"117","ebay.com","886,133","94"
"118","draft.blogger.com","5,343,211","94"
"119","gnu.org","548,331","94"
"120","goo.gl","4,114,076","94"
"121","www.gov.uk","443,099","94"
"122","gravatar.com","1,584,719","94"
"123","google.fr","382,620","94"
"124","amazon.de","483,700","94"
"125","hatena.ne.jp","1,419,791","94"
"126","elpais.com","313,089","94"
"127","picasaweb.google.com","625,391","94"
"128","ted.com","459,099","94"
"129","opera.com","715,231","94"
"130","telegraph.co.uk","766,230","94"
"131","issuu.com","805,718","94"
"132","pinterest.com","6,708,844","94"
"133","tinyurl.com","1,183,513","94"
"134","nasa.gov","528,639","94"
"135","fb.com","317,163","94"
"136","ig.com.br","132,372","94"
"137","marketingplatform.google.com","725,082","94"
"138","rakuten.co.jp","572,530","94"
"139","hp.com","376,387","94"
"140","foxnews.com","440,966","94"
"141","myaccount.google.com","243,987","94"
"142","wired.com","524,210","94"
"143","privacyshield.gov","412,537","94"
"144","oracle.com","498,057","94"
"145","dailymail.co.uk","766,146","94"
"146","tools.google.com","1,441,758","94"
"147","groups.google.com","301,156","94"
"148","bing.com","842,643","94"
"149","techcrunch.com","377,119","94"
"150","huffingtonpost.com","887,262","94"
"151","rt.com","226,109","94"
"152","fandom.com","415,789","94"
"153","cnet.com","535,785","94"
"154","mediafire.com","747,750","94"
"155","aliexpress.com","444,783","94"
"156","files.wordpress.com","1,946,812","94"
"157","plesk.com","645,863","94"
"158","amazon.co.uk","620,755","94"
"159","google.it","405,471","94"
"160","search.google.com","782,151","94"
"161","archive.org","830,311","94"
"162","sfgate.com","315,938","93"
"163","instagram.com","19,068,600","93"
"164","doubleclick.net","667,127","93"
"165","trustpilot.com","282,972","93"
"166","ibm.com","433,364","93"
"167","cbc.ca","337,618","93"
"168","biglobe.ne.jp","223,336","93"
"169","columbia.edu","268,341","93"
"170","lycos.com","707,351","93"
"171","spotify.com","1,008,528","93"
"172","www.wikipedia.org","505,248","93"
"173","guardian.co.uk","525,330","93"
"174","hollywoodreporter.com","209,755","93"
"175","qq.com","3,990,814","93"
"176","mysql.com","379,139","93"
"177","gen.xyz","6,351,312","93"
"178","abcnews.go.com","456,210","93"
"179","quora.com","290,172","93"
"180","huffpost.com","396,671","93"
"181","kickstarter.com","405,541","93"
"182","ikea.com","255,336","93"
"183","ria.ru","158,257","93"
"184","channel4.com","142,658","93"
"185","academia.edu","271,680","93"
"186","ea.com","153,356","93"
"187","espn.com","279,664","93"
"188","google.nl","213,760","93"
"189","namecheap.com","498,793","93"
"190","ask.fm","238,499","93"
"191","photobucket.com","1,604,681","93"
"192","target.com","222,209","93"
"193","mirror.co.uk","250,554","93"
"194","my.yahoo.com","1,115,230","93"
"195","surveymonkey.com","370,710","93"
"196","smh.com.au","256,915","93"
"197","cambridge.org","201,424","93"
"198","ietf.org","319,739","93"
"199","adssettings.google.com","279,317","93"
"200","washington.edu","291,148","93"
"201","lemonde.fr","213,977","93"
"202","google.com.tw","123,570","93"
"203","detik.com","322,484","93"
"204","windowsphone.com","122,981","93"
"205","allaboutcookies.org","356,850","93"
"206","bitly.com","285,329","93"
"207","gizmodo.com","339,313","93"
"208","xbox.com","138,048","93"
"209","sendspace.com","150,930","93"
"210","imageshack.us","792,438","93"
"211","it.wikipedia.org","275,856","93"
"212","list-manage.com","582,764","93"
"213","naver.com","393,247","93"
"214","nationalgeographic.com","515,299","93"
"215","urbandictionary.com","204,392","93"
"216","abc.net.au","311,740","93"
"217","ign.com","227,643","93"
"218","ru.wikipedia.org","364,504","93"
"219","cdc.gov","486,082","93"
"220","npr.org","567,519","93"
"221","thetimes.co.uk","289,626","93"
"222","dell.com","203,795","93"
"223","walmart.com","256,434","93"
"224","xinhuanet.com","610,297","93"
"225","google.co.id","127,531","93"
"226","id.wikipedia.org","379,086","93"
"227","gmail.com","176,554","93"
"228","newsweek.com","235,455","93"
"229","weibo.com","1,475,629","93"
"230","spiegel.de","258,170","93"
"231","ovh.net","691,213","93"
"232","ox.ac.uk","206,723","93"
"233","mashable.com","342,951","93"
"234","sedo.com","1,864,322","93"
"235","dan.com","1,132,691","93"
"236","nginx.org","408,812","93"
"237","theverge.com","278,852","93"
"238","viglink.com","267,664","93"
"239","asus.com","135,429","93"
"240","vox.com","444,372","93"
"241","cbsnews.com","416,857","93"
"242","about.com","676,140","93"
"243","bandcamp.com","496,196","93"
"244","news.com.au","247,450","93"
"245","disqus.com","917,383","93"
"246","economist.com","295,930","93"
"247","metro.co.uk","168,463","93"
"248","goodreads.com","622,458","93"
"249","sports.yahoo.com","170,699","93"
"250","loc.gov","342,086","93"
"251","who.int","388,281","93"
"252","bund.de","469,842","93"
"253","e-recht24.de","440,008","93"
"254","nhk.or.jp","193,893","93"
"255","worldbank.org","193,977","93"
"256","php.net","588,490","93"
"257","yale.edu","271,783","93"
"258","google.co.in","231,555","93"
"259","a8.net","404,556","93"
"260","nginx.com","330,418","93"
"261","000webhost.com","310,133","93"
"262","bp0.blogger.com","516,127","93"
"263","shopify.com","979,275","93"
"264","berkeley.edu","374,385","93"
"265","netvibes.com","1,131,666","93"
"266","m.wikipedia.org","210,967","93"
"267","unesco.org","242,845","93"
"268","depositfiles.com","140,861","93"
"269","rottentomatoes.com","194,302","93"
"270","storage.googleapis.com","382,690","93"
"271","addtoany.com","675,308","93"
"272","netflix.com","217,815","93"
"273","bp2.blogger.com","516,383","93"
"274","godaddy.com","2,342,016","93"
"275","wp.com","895,840","93"
"276","theatlantic.com","406,838","93"
"277","bp1.blogger.com","516,490","93"
"278","sky.com","175,579","93"
"279","psychologytoday.com","254,572","93"
"280","sapo.pt","208,002","93"
"281","latimes.com","565,553","93"
"282","playstation.com","170,233","93"
"283","www.weebly.com","302,445","93"
"284","rtve.es","137,417","93"
"285","umich.edu","287,809","93"
"286","cnbc.com","362,428","93"
"287","themeforest.net","472,070","93"
"288","iubenda.com","167,714","93"
"289","vice.com","288,093","93"
"290","picasa.google.com","244,688","93"
"291","goo.ne.jp","296,217","93"
"292","blackberry.com","134,896","93"
"293","yelp.com","781,034","93"
"294","cornell.edu","360,941","93"
"295","amazon.fr","213,393","93"
"296","google.pl","195,622","93"
"297","search.yahoo.com","368,838","93"
"298","gofundme.com","229,616","93"
"299","sciencemag.org","242,675","93"
"300","cpanel.com","1,043,604","93"
"301","pbs.org","408,939","93"
"302","office.com","307,384","93"
"303","sciencedaily.com","274,392","93"
"304","usnews.com","312,643","93"
"305","chicagotribune.com","291,838","93"
"306","mega.nz","139,541","93"
"307","www.over-blog.com","239,191","93"
"308","rapidshare.com","281,592","93"
"309","fb.me","222,786","93"
"310","nydailynews.com","298,863","93"
"311","googleblog.com","207,084","93"
"312","fastcompany.com","243,282","93"
"313","indiatimes.com","317,207","93"
"314","ytimg.com","224,023","93"
"315","abc.es","152,733","93"
"316","alibaba.com","365,158","93"
"317","nature.com","412,761","93"
"318","google.ca","290,117","93"
"319","yahoo.co.jp","610,207","93"
"320","twitch.tv","260,621","93"
"321","bp3.blogger.com","516,295","93"
"322","princeton.edu","262,762","93"
"323","naver.jp","125,986","93"
"324","dw.com","205,556","93"
"325","nvidia.com","133,493","93"
"326","stackoverflow.com","259,974","93"
"327","ucoz.ru","189,200","93"
"328","yadi.sk","169,712","93"
"329","gooyaabitemplates.com","275,352","93"
"330","britannica.com","246,687","93"
"331","so-net.ne.jp","175,982","93"
"332","shutterstock.com","226,283","93"
"333","sciencedirect.com","382,879","93"
"334","rambler.ru","240,806","93"
"335","ovh.com","375,499","93"
"336","finance.yahoo.com","353,382","93"
"337","addthis.com","715,486","93"
"338","digg.com","814,293","93"
"339","tripadvisor.com","438,327","93"
"340","parallels.com","588,161","93"
"341","venturebeat.com","165,745","93"
"342","mit.edu","540,503","93"
"343","whitehouse.gov","304,058","93"
"344","stanford.edu","493,035","93"
"345","instructables.com","262,268","93"
"346","ggpht.com","563,048","93"
"347","ovh.co.uk","543,910","93"
"348","buzzfeed.com","440,203","93"
"349","elmundo.es","186,751","93"
"350","wa.me","232,213","93"
"351","nokia.com","156,625","93"
"352","wikihow.com","329,350","93"
"353","bt.com","157,353","93"
"354","secureserver.net","802,922","93"
"355","businessinsider.com","541,090","93"
"356","pl.wikipedia.org","123,817","93"
"357","webmd.com","515,907","93"
"358","pixabay.com","253,239","93"
"359","4shared.com","499,762","93"
"360","yandex.ru","928,467","93"
"361","utexas.edu","227,196","93"
"362","cisco.com","199,537","93"
"363","marriott.com","322,202","93"
"364","express.co.uk","191,254","93"
"365","eventbrite.com","538,601","93"
"366","ja.wikipedia.org","318,617","93"
"367","box.com","225,457","93"
"368","akamaihd.net","403,807","93"
"369","disney.com","176,051","93"
"370","zendesk.com","404,872","93"
"371","hm.com","151,381","93"
"372","t.co","1,636,871","93"
"373","time.com","614,661","93"
"374","welt.de","155,157","93"
"375","amazon.es","133,077","93"
"376","www.skyrock.com","10,744,065","93"
"377","photos1.blogger.com","808,827","92"
"378","teamviewer.com","141,470","92"
"379","groups.yahoo.com","309,002","92"
"380","storify.com","243,940","92"
"381","disney.go.com","162,210","92"
"382","psu.edu","262,246","92"
"383","vkontakte.ru","387,788","92"
"384","archives.gov","209,948","92"
"385","sputniknews.com","130,929","92"
"386","scientificamerican.com","236,874","92"
"387","newscientist.com","185,633","92"
"388","debian.org","308,006","92"
"389","thestar.com","181,914","92"
"390","skype.com","332,016","92"
"391","ustream.tv","252,797","92"
"392","stores.jp","401,729","92"
"393","discovery.com","218,908","92"
"394","sina.com.cn","1,093,872","92"
"395","standard.co.uk","137,168","92"
"396","slate.com","302,240","92"
"397","apachefriends.org","204,978","92"
"398","cmu.edu","196,025","92"
"399","dictionary.com","231,997","92"
"400","indiegogo.com","208,000","92"
"401","ieee.org","177,574","92"
"402","wattpad.com","177,352","92"
"403","pcmag.com","179,027","92"
"404","mail.yahoo.com","167,434","92"
"405","pixnet.net","149,498","92"
"406","www.livejournal.com","2,424,418","92"
"407","billboard.com","157,693","92"
"408","etsy.com","1,471,189","92"
"409","arxiv.org","164,751","92"
"410","gutenberg.org","151,304","92"
"411","thenextweb.com","163,353","92"
"412","discord.gg","138,897","92"
"413","gesetze-im-internet.de","129,851","92"
"414","afternic.com","842,561","92"
"415","howstuffworks.com","252,138","92"
"416","iso.org","153,924","92"
"417","mercurynews.com","154,120","92"
"418","seesaa.net","266,055","92"
"419","interia.pl","152,331","92"
"420","fortune.com","208,549","92"
"421","imgur.com","1,107,933","92"
"422","calendar.google.com","140,819","92"
"423","variety.com","191,235","92"
"424","prestashop.com","156,833","92"
"425","sakura.ne.jp","354,881","92"
"426","allrecipes.com","146,452","92"
"427","xfinity.com","123,574","92"
"428","nbcnews.com","287,399","92"
"429","espn.go.com","227,727","92"
"430","uspto.gov","128,823","92"
"431","axs.com","225,361","92"
"432","airbnb.com","157,019","92"
"433","feedproxy.google.com","743,994","92"
"434","people.com","188,833","92"
"435","merriam-webster.com","222,661","92"
"436","livescience.com","203,983","92"
"437","cbslocal.com","264,002","92"
"438","timeout.com","122,297","92"
"439","intel.com","222,157","92"
"440","autodesk.com","120,842","92"
"441","businesswire.com","217,568","92"
"442","asahi.com","155,861","92"
"443","geocities.jp","250,171","92"
"444","arstechnica.com","207,077","92"
"445","soratemplates.com","167,057","92"
"446","pastebin.com","165,917","92"
"447","redhat.com","168,706","92"
"448","usa.gov","160,762","92"
"449","www.nhs.uk","156,061","92"
"450","evernote.com","249,583","92"
"451","ap.org","177,002","92"
"452","softonic.com","126,206","92"
"453","entrepreneur.com","207,312","92"
"454","mlb.com","198,865","92"
"455","kinja.com","180,719","92"
"456","repubblica.it","164,708","92"
"457","bloglovin.com","431,710","92"
"458","siemens.com","188,810","92"
"459","biblegateway.com","200,632","92"
"460","nifty.com","216,295","92"
"461","icann.org","335,551","92"
"462","fedoraproject.org","204,403","92"
"463","quantcast.com","310,313","92"
"464","khanacademy.org","130,015","92"
"465","house.gov","224,222","92"
"466","daum.net","155,029","92"
"467","usgs.gov","190,999","92"
"468","corriere.it","135,137","92"
"469","cocolog-nifty.com","179,911","92"
"470","eonline.com","170,875","92"
"471","chinadaily.com.cn","255,518","92"
"472","google.com.au","182,615","92"
"473","politico.com","192,853","92"
"474","amazon.ca","170,468","92"
"475","megaupload.com","244,353","92"
"476","narod.ru","284,397","92"
"477","ameblo.jp","702,932","92"
"478","aljazeera.com","192,398","92"
"479","marketwatch.com","257,428","92"
"480","last.fm","338,532","92"
"481","ftc.gov","206,057","92"
"482","plos.org","207,739","92"
"483","www.canalblog.com","385,925","92"
"484","fifa.com","140,042","92"
"485","behance.net","635,720","92"
"486","connect.over-blog.com","221,409","92"
"487","inc.com","196,216","92"
"488","lonelyplanet.com","147,857","92"
"489","weather.com","212,998","92"
"490","t-online.de","151,698","92"
"491","oreilly.com","207,581","92"
"492","one.com","364,930","92"
"493","researchgate.net","278,213","92"
"494","uci.edu","180,800","92"
"495","ehow.com","228,592","92"
"496","epa.gov","268,276","92"
"497","answers.yahoo.com","187,893","92"
"498","clickbank.net","444,271","92"
"499","ca.gov","353,874","92"
"500","upenn.edu","255,023","92"
